,year,name,position,school,ranking,rating,stars,committed_to,recruit_type,height,weight,city,state_province,country,id,athlete_id
0,2018,Trevor Lawrence,PRO,Cartersville,1.0,0.9999,5,Clemson,HighSchool,78.0,208.0,Cartersville,GA,USA,42908,4360310.0
1,2018,Justin Fields,DUAL,Harrison,2.0,0.9998,5,Georgia,HighSchool,75.0,221.0,Kennesaw,GA,USA,42909,4362887.0
2,2018,Xavier Thomas,SDE,IMG Academy,3.0,0.9988,5,Clemson,HighSchool,75.0,260.0,Bradenton,FL,USA,42910,4360304.0
3,2018,Eyabi Anoma,WDE,St. Frances Academy,4.0,0.9987,5,Alabama,HighSchool,77.0,235.0,Baltimore,MD,USA,42911,4372014.0
4,2018,Micah Parsons,WDE,Harrisburg,5.0,0.9982,5,Penn State,HighSchool,75.0,235.0,Harrisburg,PA,USA,42912,4361423.0
5,2018,Patrick Surtain II,CB,American Heritage,6.0,0.9973,5,Alabama,HighSchool,73.25,199.0,Fort Lauderdale,FL,USA,42913,4372012.0
6,2018,Nicholas Petit-Frere,OT,Berkeley Prep,7.0,0.9963,5,Ohio State,HighSchool,78.0,272.0,Tampa,FL,USA,42914,4361368.0
7,2018,Justin Shorter,WR,South Brunswick,8.0,0.9962,5,Penn State,HighSchool,76.0,213.0,Monmouth Junction,NJ,USA,42915,4361426.0
8,2018,Zamir White,RB,Scotland County,9.0,0.9957,5,Georgia,HighSchool,73.0,210.0,Laurinburg,NC,USA,42916,4361777.0
9,2018,Jamaree Salyer,OG,Pace Academy,10.0,0.9956,5,Georgia,HighSchool,76.0,342.0,Atlanta,GA,USA,42917,4379412.0
10,2018,Amon-Ra St. Brown,WR,Mater Dei,11.0,0.9948,5,USC,HighSchool,71.5,191.0,Anaheim,CA,USA,42918,4374302.0
11,2018,Tyson Campbell,CB,American Heritage,12.0,0.9944,5,Georgia,HighSchool,74.5,180.0,Fort Lauderdale,FL,USA,42919,4379397.0
12,2018,Terrace Marshall,WR,Parkway,13.0,0.993,5,LSU,HighSchool,74.5,192.0,Bossier City,LA,USA,42920,4362630.0
13,2018,KJ Henry,WDE,West Forsyth,14.0,0.9928,5,Clemson,HighSchool,77.5,235.0,Clemmons,NC,USA,42921,
14,2018,Palaie Gaoteote IV,ILB,Bishop Gorman,15.0,0.9926,5,USC,HighSchool,74.0,235.0,Las Vegas,NV,USA,42922,4374297.0
15,2018,JT Daniels,PRO,Mater Dei,16.0,0.9919,5,USC,HighSchool,74.0,205.0,Santa Ana,CA,USA,42923,4374303.0
16,2018,Jackson Carman,OT,Fairfield,17.0,0.9894,5,Clemson,HighSchool,78.0,330.0,Fairfield,OH,USA,42924,4360320.0
17,2018,Adam Anderson,OLB,Rome,18.0,0.9889,5,Georgia,HighSchool,76.0,214.0,Rome,GA,USA,42925,4379392.0
18,2018,Caden Sterns,S,Steele,19.0,0.9886,5,Texas,HighSchool,73.0,192.0,Cibolo,TX,USA,42926,4362077.0
19,2018,Taron Vincent,DT,IMG Academy,20.0,0.9884,5,Ohio State,HighSchool,74.0,285.0,Bradenton,FL,USA,42927,4361338.0
20,2018,Tyreke Johnson,S,Trinity Christian Academy,21.0,0.9876,5,Ohio State,HighSchool,73.0,191.0,Jacksonville,FL,USA,42928,4361343.0
21,2018,Cade Mays,OT,Knoxville Catholic,22.0,0.9869,5,Georgia,HighSchool,78.0,318.0,Knoxville,TN,USA,42929,4361788.0
22,2018,Brenton Cox,SDE,Stockbridge,23.0,0.9867,5,Georgia,HighSchool,76.5,247.0,Stockbridge,GA,USA,42930,4361776.0
23,2018,B.J. Foster,S,Angleton,24.0,0.9865,5,Texas,HighSchool,73.0,188.0,Angleton,TX,USA,42931,4362086.0
24,2018,Lorenzo Lingard,RB,University,25.0,0.9861,5,Miami,HighSchool,72.0,190.0,Orange City,FL,USA,42932,4362496.0
25,2018,Derion Kendrick,WR,South Pointe,26.0,0.9855,5,Clemson,HighSchool,73.0,184.0,Rock Hill,SC,USA,42933,4360307.0
26,2018,Ricky Slade,APB,C. D. Hylton,27.0,0.9853,5,Penn State,HighSchool,69.0,185.0,Woodbridge,VA,USA,42934,4361427.0
27,2018,Olaijah Griffin,CB,Mission Viejo,28.0,0.9849,5,USC,HighSchool,72.0,170.0,Mission Viejo,CA,USA,42935,4374299.0
28,2018,Brey Walker,OT,Westmoore,29.0,0.9836,5,Oklahoma,HighSchool,79.0,320.0,Moore,OK,USA,42936,4360288.0
29,2018,Jaelen Gill,APB,Westerville South,30.0,0.9831,4,Ohio State,HighSchool,73.0,182.0,Westerville,OH,USA,42937,4361351.0
30,2018,Quay Walker,OLB,Crisp County,31.0,0.983,4,Georgia,HighSchool,76.0,236.0,Cordele,GA,USA,42938,4379416.0
31,2018,Isaac Taylor-Stuart,CB,Helix,32.0,0.9827,4,USC,HighSchool,74.0,187.0,San Diego,CA,USA,42939,4374301.0
32,2018,Brevin Jordan,TE,Bishop Gorman,33.0,0.982,4,Miami,HighSchool,75.0,250.0,Las Vegas,NV,USA,42940,4362504.0
33,2018,Tyreke Smith,WDE,Cleveland Heights,34.0,0.9816,4,Ohio State,HighSchool,75.0,260.0,Cleveland,OH,USA,42941,4361340.0
34,2018,Jaiden Woodbey,S,St. John Bosco,35.0,0.9814,4,Florida State,HighSchool,74.0,204.0,Fontana,CA,USA,42942,4360468.0
35,2018,Jaiden Lars-Woodbey,S,St. John Bosco,35.0,0.9814,4,Florida State,HighSchool,74.0,204.0,Fontana,CA,USA,67893,4360468.0
36,2018,Dorian Thompson-Robinson,DUAL,Bishop Gorman,36.0,0.9813,4,UCLA,HighSchool,73.5,195.0,Las Vegas,NV,USA,42943,4367178.0
37,2018,Jeremy Ruckert,TE,Lindenhurst,37.0,0.981,4,Ohio State,HighSchool,77.5,238.0,Lindenhurst,NY,USA,42944,4361372.0
38,2018,Brendan Radley-Hiles,CB,IMG Academy,38.0,0.9807,4,Oklahoma,HighSchool,70.0,183.0,Bradenton,FL,USA,42945,4360276.0
39,2018,Jaylen Waddle,WR,Episcopal,39.0,0.9791,4,Alabama,HighSchool,69.5,175.0,Bellaire,TX,USA,42946,4372016.0
